"Series Data"
"C:\Data\SMARC_20170927\SMARC_20170927006_000000.STA"
"Broadband 153.6 kHz"
"Pings/Ens ="	8
"Time/Ping = 00:01.00"
"First Ensemble Date = 18/12/10"
"First Ensemble Time = 10:42:36.08"
"Ensemble Interval (s) = "	20,00
"1st Bin Range (m) = "	14,95
"Bin Size (m) ="	8,00


Ens	YR	MO	DA	HH	MM	SS	HH		"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Eas"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Nor"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Ver"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Err"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Mag"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"Dir"	"BTM"	"NVE"	"NVN"	"NVM"	"NVD"	    "FLat"	    "FLon"	    "LLat"	    "LLon"
									"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"deg"	"mm/s"	"mm/s"	"mm/s"	"mm/s"	"deg"	     "deg"	     "deg"	     "deg"	     "deg"
									1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45

1	18	12	10	10	42	36	08		77	104	24																																											-33	-65	-79																																											-245	-173	-181																																											32	-34	51																																											84	123	83																																											113,20	122,00	163,10																																											5039	-4729	1509	4964	287,70	58,25859996	11,43796669	58,25888336	11,43634999
2	18	12	10	10	42	58	00		26	43	98	98																																										-30	-16	-16	-94																																										-60	-5	21	4																																										-37	-5	20	10																																										40	46	99	136																																										139,10	110,40	99,30	133,80																																										5086	-4709	1663	4994	289,50	58,25891663	11,43618336	58,25920003	11,43458334
3	18	12	10	10	43	19	01		-7	36	34																																											25	13	10																																											-97	-60	-35																																											-23	-26	-8																																											26	38	35																																											344,40	70,10	73,60																																											5085	-4752	1856	5102	291,30	58,25923330	11,43441671	58,25950001	11,43313335
4	18	12	10	10	43	37	06		228	225	212	250																																										-196	-191	-219	-323																																										70	91	119	133																																										13	3	-23	6																																										301	295	305	408																																										130,70	130,30	135,90	142,30																																										5010	-4668	1663	4955	289,60	58,25951669	11,43296664	58,25983336	11,43138329
5	18	12	10	10	43	58	07		39	19	33	41																																										73	121	-3	-54																																										-57	-5	11	24																																										-8	-45	4	-24																																										83	122	33	68																																										28,10	8,90	95,20	142,80																																										4975	-4659	1768	4983	290,80	58,25986664	11,43121666	58,26011667	11,42996667
6	18	12	10	10	44	17	02		32	15	108	109																																										49	107	-1	-11																																										-69	-45	-7	-3																																										14	17	-29	-31																																										59	108	108	110																																										33,10	8,00	90,50	95,80																																										4977	-4566	1702	4873	290,40	58,26013335	11,42980004	58,26045002	11,42824997
7	18	12	10	10	44	38	03		19	-60	52	66																																										-47	-11	-46	-28																																										-23	8	30	34																																										-16	17	26	5																																										51	61	69	72																																										158,00	259,60	131,50	113,00																																										5076	-4542	2254	5071	296,40	58,26048329	11,42810002	58,26079996	11,42685003
