Latitude	Longitude	PrDM	T090C	FlECO-AFL	TimeS	TimeJ	DepSM	Sal00	Potemp090C	Density00	Sigma-é00	Sigma-t00	Sbeox0ML/L	Sbeox0PS	OxsolML/L	OxsatML/L	Gsw_saA0	Gsw_deltasaA0	Gsw_ctA0	Gsw_densityA0	Gsw_sigma0A0	Gsw_sigma1A0	Gsw_sigma2A0	Gsw_sigma3A0	Gsw_sigma4A0	Gsw_specvolA0	Gsw_svolanomA0	Gsw_srA0	Gsw_ieA0	Nbin
58.25080	11.33264	1.009	6.2690	0.9334	44.054	344.466945	1.000	27.0384	6.2689	1021.2437	21.2390	21.2389	6.2267	86.039	7.23714	7.24467	27.1857	1.9790e-02	6.3625	1021.2592	21.2545	25.8567	30.3562	34.7550	39.0548	9.7918e-04	6.5265e-06	27.1659	25299.0497	27
58.25080	11.33264	1.514	6.2610	0.9630	45.117	344.466957	1.500	27.0291	6.2609	1021.2395	21.2325	21.2325	6.3749	88.063	7.23896	7.24650	27.1763	1.9813e-02	6.3545	1021.2551	21.2481	25.8505	30.3503	34.7493	39.0494	9.7919e-04	6.5328e-06	27.1565	25266.9671	15
58.25079	11.33265	2.019	6.2536	0.9529	45.660	344.466964	2.000	27.0250	6.2535	1021.2395	21.2301	21.2301	6.4220	88.696	7.24042	7.24798	27.1722	1.9824e-02	6.3470	1021.2551	21.2457	25.8483	30.3484	34.7476	39.0479	9.7919e-04	6.5350e-06	27.1524	25237.2153	15
58.25075	11.33264	2.523	6.4184	0.9916	51.755	344.467034	2.500	27.3896	6.4182	1021.5104	21.4986	21.4986	6.2358	86.665	7.19499	7.20240	27.5376	1.8917e-02	6.5090	1021.5254	21.5137	26.1094	30.6025	34.9951	39.2890	9.7893e-04	6.2782e-06	27.5187	25883.7246	13
58.25074	11.33264	3.028	6.4914	0.9894	53.331	344.467052	3.000	27.6035	6.4911	1021.6728	21.6587	21.6587	6.1651	85.955	7.17249	7.17987	27.7521	1.8385e-02	6.5800	1021.6875	21.6734	26.2656	30.7554	35.1447	39.4353	9.7877e-04	6.1252e-06	27.7337	26167.1930	16
58.25074	11.33264	3.533	6.7231	0.9924	54.522	344.467066	3.500	28.1091	6.7228	1022.0458	22.0294	22.0294	6.1029	85.836	7.10987	7.11703	28.2588	1.7129e-02	6.8074	1022.0597	22.0434	26.6258	31.1061	35.4862	39.7681	9.7842e-04	5.7710e-06	28.2417	27075.1389	28
58.25074	11.33264	4.038	6.9814	0.9724	56.997	344.467095	4.000	28.6789	6.9811	1022.4649	22.4462	22.4462	5.9940	85.133	7.04069	7.04760	28.8298	1.5712e-02	7.0604	1022.4780	22.4593	27.0309	31.5007	35.8707	40.1427	9.7802e-04	5.3730e-06	28.8141	28085.0922	35
58.25072	11.33262	4.542	7.4063	0.9538	58.079	344.467107	4.500	29.9007	7.4059	1023.3730	23.3521	23.3520	5.8665	84.823	6.91618	6.92282	30.0543	1.2675e-02	7.4715	1023.3842	23.3632	27.9151	32.3658	36.7172	40.9713	9.7715e-04	4.5093e-06	30.0417	29726.2194	23
58.25072	11.33262	5.047	7.7570	0.8759	58.877	344.467117	5.000	30.9151	7.7565	1024.1242	24.1011	24.1010	5.8565	85.929	6.81562	6.82200	31.0710	1.0154e-02	7.8094	1024.1338	24.1107	28.6465	33.0815	37.4178	41.6572	9.7643e-04	3.7964e-06	31.0608	31075.0022	16
58.25072	11.33262	5.552	7.9443	0.7346	59.484	344.467124	5.500	31.6347	7.9438	1024.6653	24.6399	24.6399	5.8562	86.699	6.75467	6.76098	31.7922	8.3652e-03	7.9867	1024.6737	24.6483	29.1742	33.5997	37.9266	42.1571	9.7592e-04	3.2841e-06	31.7839	31783.0601	14
