Latitude	Longitude	PrDM	T090C	FlECO-AFL	TimeS	TimeJ	DepSM	Sal00	Potemp090C	Density00	Sigma-é00	Sigma-t00	Sbeox0ML/L	Sbeox0PS	OxsolML/L	OxsatML/L	Gsw_saA0	Gsw_deltasaA0	Gsw_ctA0	Gsw_densityA0	Gsw_sigma0A0	Gsw_sigma1A0	Gsw_sigma2A0	Gsw_sigma3A0	Gsw_sigma4A0	Gsw_specvolA0	Gsw_svolanomA0	Gsw_srA0	Gsw_ieA0	Nbin
58.41370	11.59290	2.019	8.0027	0.5039	50.385	345.562747	2.000	28.4360	8.0025	1022.1327	22.1235	22.1234	5.4018	78.422	6.88788	6.89259	28.5864	1.6316e-02	8.0936	1022.1466	22.1373	26.6862	31.1339	35.4824	39.7338	9.7833e-04	5.6810e-06	28.5700	32209.3083	14
58.41370	11.59288	2.523	8.0907	0.4326	51.421	345.562760	2.500	28.6327	8.0905	1022.2773	22.2657	22.2656	5.5668	81.089	6.86526	6.86989	28.7835	1.5827e-02	8.1794	1022.2909	22.2793	26.8245	31.2688	35.6139	39.8621	9.7820e-04	5.5452e-06	28.7677	32551.9084	26
58.41371	11.59288	3.028	8.3528	0.4654	52.509	345.562772	3.000	29.0489	8.3525	1022.5692	22.5553	22.5552	5.8118	85.394	6.80614	6.81044	29.2007	1.4793e-02	8.4372	1022.5822	22.5683	27.1043	31.5394	35.8758	40.1155	9.7792e-04	5.2688e-06	29.1859	33581.0293	26
58.41372	11.59288	3.533	8.6002	0.4960	53.567	345.562784	3.500	29.4978	8.5999	1022.8877	22.8715	22.8714	5.9874	88.724	6.74850	6.75251	29.6505	1.3677e-02	8.6794	1022.9000	22.8839	27.4107	31.8370	36.1647	40.3962	9.7761e-04	4.9672e-06	29.6369	34547.8129	24
58.41372	11.59288	4.038	8.6840	0.3875	54.582	345.562796	4.000	29.5159	8.6836	1022.8922	22.8737	22.8737	6.1436	91.219	6.73487	6.73873	29.6687	1.3632e-02	8.7634	1022.9046	22.8861	27.4109	31.8351	36.1610	40.3905	9.7761e-04	4.9651e-06	29.6551	34883.3443	24
58.41372	11.59288	4.542	8.6050	0.3664	55.557	345.562807	4.500	29.3538	8.6046	1022.7792	22.7584	22.7583	6.4200	95.055	6.75394	6.75789	29.5063	1.4035e-02	8.6864	1022.7918	22.7710	27.2988	31.7260	36.0547	40.2870	9.7772e-04	5.0752e-06	29.4923	34575.8475	23
58.41372	11.59288	5.047	8.8232	0.4160	56.520	345.562818	5.000	29.5428	8.8227	1022.8974	22.8743	22.8743	6.5099	96.978	6.71276	6.71636	29.6956	1.3565e-02	8.9030	1022.9098	22.8868	27.4081	31.8291	36.1517	40.3782	9.7760e-04	4.9647e-06	29.6820	35440.5427	23
58.41372	11.59288	5.552	9.3611	0.3224	57.472	345.562830	5.500	30.4816	9.3606	1023.5518	23.5265	23.5264	6.6393	100.712	6.59293	6.59590	30.6365	1.1232e-02	9.4286	1023.5628	23.5376	28.0398	32.4421	36.7467	40.9558	9.7698e-04	4.3433e-06	30.6253	37538.7611	23
58.41372	11.59288	6.056	9.8662	0.2641	58.443	345.562841	6.000	31.7883	9.8656	1024.4946	24.4671	24.4670	6.7502	104.413	6.46505	6.46756	31.9462	7.9833e-03	9.9134	1024.5035	24.4761	28.9574	33.3395	37.6245	41.8146	9.7608e-04	3.4485e-06	31.9382	39474.2428	24
58.41372	11.59288	6.561	10.1221	0.1981	59.453	345.562852	6.500	32.4773	10.1213	1024.9920	24.9624	24.9623	7.0578	110.270	6.40069	6.40297	32.6367	6.2708e-03	10.1577	1024.9998	24.9702	29.4409	33.8127	38.0877	42.2682	9.7561e-04	2.9781e-06	32.6304	40449.2150	25
