PrDM	T090C	WetStar	FlSP	SeaTurbMtr	TimeS	TimeJ	DepSM	Sal00	Potemp090C	Density00	Sigma-é00	Sigma-t00	Sbeox0ML/L	Sbeox0PS	OxsolML/L	OxsatML/L	Gsw_saA0	Gsw_deltasaA0	Gsw_ctA0	Gsw_densityA0	Gsw_sigma0A0	Gsw_sigma1A0	Gsw_sigma2A0	Gsw_sigma3A0	Gsw_sigma4A0	Gsw_specvolA0	Gsw_svolanomA0	Gsw_srA0	Gsw_ieA0	Nbin
2.523	6.1554	1.1370	7.8988e-01	1.725	-0.211	344.668412	2.500	24.5368	6.1552	1019.2932	19.2814	19.2814	6.6433	90.045	7.37750	7.38379	24.6785	2.6009e-02	6.2768	1019.3128	19.3009	23.9258	28.4474	32.8676	37.1882	9.8105e-04	8.4030e-06	24.6525	24956.7567	12
3.028	6.4549	0.7086	7.6668e-01	1.482	1.164	344.668428	3.000	25.8708	6.4547	1020.3132	20.2991	20.2991	6.5923	90.788	7.26126	7.26773	26.0155	2.2693e-02	6.5643	1020.3307	20.3166	24.9233	29.4272	33.8302	38.1343	9.8007e-04	7.4267e-06	25.9928	26104.4749	33
3.533	6.5931	0.4633	7.3852e-01	1.185	2.508	344.668443	3.500	26.6047	6.5929	1020.8775	20.8611	20.8611	6.5415	90.820	7.20262	7.20923	26.7510	2.0868e-02	6.6952	1020.8939	20.8774	25.4749	29.9698	34.3641	38.6596	9.7953e-04	6.8883e-06	26.7302	26626.9000	30
4.037	6.7554	0.3481	7.4176e-01	0.832	3.688	344.668457	4.000	27.0778	6.7551	1021.2331	21.2144	21.2143	6.4728	90.490	7.15296	7.15949	27.2252	1.9692e-02	6.8531	1021.2488	21.2300	25.8197	30.3071	34.6940	38.9825	9.7919e-04	6.5502e-06	27.2055	27257.5920	28
4.542	7.0375	0.2861	7.1198e-01	0.858	4.890	344.668471	4.500	27.6072	7.0371	1021.6180	21.5969	21.5969	6.3728	89.996	7.08120	7.08744	27.7557	1.8376e-02	7.1311	1021.6328	21.6118	26.1904	30.6669	35.0434	39.3218	9.7883e-04	6.1843e-06	27.7373	28367.3027	31
5.047	7.1522	0.2591	6.5523e-01	0.981	6.251	344.668487	5.000	27.8110	7.1518	1021.7663	21.7430	21.7429	6.2919	89.209	7.05292	7.05902	27.9600	1.7870e-02	7.2441	1021.7809	21.7576	26.3317	30.8040	35.1764	39.4508	9.7868e-04	6.0448e-06	27.9421	28818.3509	33
5.552	7.4628	0.2377	6.2127e-01	0.830	7.532	344.668502	5.500	28.3420	7.4623	1022.1465	22.1209	22.1208	6.1858	88.646	6.97803	6.98377	28.4922	1.6550e-02	7.5502	1022.1603	22.1347	26.6972	31.1582	35.5196	39.7833	9.7832e-04	5.6838e-06	28.4756	30040.1538	29
6.056	7.6207	0.2191	6.0386e-01	0.753	8.744	344.668516	6.000	28.6209	7.6202	1022.3472	22.3193	22.3192	6.1093	88.029	6.94002	6.94558	28.7718	1.5857e-02	7.7055	1022.3607	22.3327	26.8893	31.3445	35.7003	39.9586	9.7813e-04	5.4943e-06	28.7559	30660.1418	29
6.561	7.7616	0.2072	5.3873e-01	0.773	10.002	344.668530	6.500	28.7714	7.7610	1022.4490	22.4188	22.4188	6.0377	87.367	6.91079	6.91614	28.9226	1.5482e-02	7.8453	1022.4623	22.4321	26.9841	31.4349	35.7864	40.0407	9.7803e-04	5.3994e-06	28.9071	31218.2588	31
7.066	7.9132	0.2045	5.4856e-01	0.732	11.261	344.668545	7.000	29.0195	7.9126	1022.6255	22.5930	22.5929	6.0106	87.418	6.87575	6.88091	29.1712	1.4866e-02	7.9944	1022.6383	22.6059	27.1524	31.5978	35.9442	40.1935	9.7786e-04	5.2333e-06	29.1563	31813.4718	30
7.570	7.9598	0.1896	4.8051e-01	0.697	12.520	344.668559	7.500	29.1838	7.9591	1022.7503	22.7155	22.7154	6.1190	89.184	6.86106	6.86620	29.3358	1.4458e-02	8.0389	1022.7629	22.7282	27.2723	31.7155	36.0596	40.3067	9.7774e-04	5.1164e-06	29.3214	31991.0669	31
8.075	8.0982	0.1807	4.5368e-01	0.703	13.819	344.668574	8.000	29.4231	8.0974	1022.9212	22.8841	22.8840	6.0055	87.942	6.82882	6.83379	29.5757	1.3863e-02	8.1746	1022.9335	22.8964	27.4355	31.8737	36.2131	40.4556	9.7758e-04	4.9557e-06	29.5618	32532.8732	30
8.580	8.0546	0.1706	4.4901e-01	0.693	15.084	344.668589	8.500	29.7505	8.0538	1023.1861	23.1467	23.1466	5.7943	84.946	6.82103	6.82624	29.9038	1.3049e-02	8.1258	1023.1978	23.1585	27.6961	32.1329	36.4709	40.7120	9.7733e-04	4.7054e-06	29.8907	32338.0553	31
9.084	8.1368	0.1256	4.9443e-01	0.754	16.420	344.668604	9.000	30.3898	8.1359	1023.6778	23.6362	23.6360	5.6262	82.980	6.78016	6.78550	30.5445	1.1460e-02	8.1987	1023.6884	23.6468	28.1777	32.6079	36.9396	41.1746	9.7686e-04	4.2393e-06	30.5330	32628.9934	33
9.589	8.9207	0.0966	3.9027e-01	0.726	17.766	344.668620	9.500	31.6327	8.9198	1024.5381	24.4944	24.4942	5.4399	82.318	6.60827	6.61255	31.7902	8.3702e-03	8.9665	1024.5468	24.5032	29.0067	33.4104	37.7163	41.9265	9.7604e-04	3.4231e-06	31.7818	35694.4154	31
10.094	9.1994	0.0730	3.2830e-01	0.760	18.994	344.668634	10.000	32.0304	9.1984	1024.8085	24.7627	24.7625	5.2947	80.828	6.55049	6.55438	32.1888	7.3816e-03	9.2396	1024.8167	24.7709	29.2651	33.6599	37.9571	42.1590	9.7578e-04	3.1684e-06	32.1814	36784.3553	29
10.599	9.3697	0.0719	3.0302e-01	0.752	20.249	344.668649	10.500	32.1153	9.3686	1024.8504	24.8023	24.8021	5.1817	79.447	6.52226	6.52585	32.2739	7.1705e-03	9.4090	1024.8585	24.8104	29.3003	33.6907	37.9838	42.1816	9.7575e-04	3.1308e-06	32.2667	37460.6060	32
11.103	9.5723	0.0690	3.0029e-01	0.754	21.604	344.668664	11.000	32.3731	9.5711	1025.0217	24.9713	24.9711	5.0908	78.531	6.48249	6.48578	32.5323	6.5296e-03	9.6077	1025.0294	24.9791	29.4625	33.8468	38.1338	42.3259	9.7558e-04	2.9705e-06	32.5258	38253.6596	32
11.608	9.9341	0.0639	2.2740e-01	0.777	22.921	344.668680	11.500	32.7115	9.9328	1025.2290	25.1765	25.1763	5.0259	78.318	6.41732	6.42004	32.8714	5.6887e-03	9.9644	1025.2362	25.1837	29.6568	34.0309	38.3082	42.4909	9.7538e-04	2.7759e-06	32.8657	39677.6489	31
12.113	10.0422	0.0575	2.1034e-01	0.729	24.194	344.668694	12.000	32.8270	10.0408	1025.3034	25.2487	25.2485	4.9793	77.833	6.39747	6.40003	32.9872	5.4014e-03	10.0706	1025.3105	25.2558	29.7257	34.0967	38.3710	42.5508	9.7531e-04	2.7075e-06	32.9818	40101.6417	30
12.617	10.1279	0.0548	2.0098e-01	0.756	25.445	344.668709	12.500	32.9489	10.1265	1025.3864	25.3294	25.3292	4.9511	77.597	6.38056	6.38300	33.1094	5.0984e-03	10.1542	1025.3933	25.3363	29.8035	34.1718	38.4436	42.6209	9.7524e-04	2.6310e-06	33.1043	40435.5645	31
13.122	10.1450	0.0501	2.0070e-01	0.743	26.765	344.668724	13.000	32.9908	10.1435	1025.4185	25.3593	25.3590	4.9597	77.781	6.37650	6.37892	33.1514	4.9943e-03	10.1705	1025.4253	25.3661	29.8325	34.2003	38.4714	42.6481	9.7521e-04	2.6029e-06	33.1464	40500.3624	32
13.627	10.1961	0.0481	2.0534e-01	0.761	28.122	344.668740	13.500	33.0664	10.1946	1025.4711	25.4096	25.4093	4.9377	77.560	6.36633	6.36868	33.2271	4.8064e-03	10.2203	1025.4778	25.4163	29.8811	34.2472	38.5168	42.6920	9.7516e-04	2.5552e-06	33.2223	40699.1148	32
14.131	10.2116	0.0472	2.0408e-01	0.746	29.356	344.668754	14.000	33.1192	10.2100	1025.5120	25.4482	25.4479	5.0032	78.642	6.36204	6.36438	33.2800	4.6752e-03	10.2348	1025.5185	25.4548	29.9189	34.2843	38.5532	42.7277	9.7512e-04	2.5187e-06	33.2754	40757.1524	28
14.636	10.1864	0.0419	1.9965e-01	0.742	30.579	344.668768	14.500	33.1437	10.1848	1025.5376	25.4715	25.4713	5.0245	78.945	6.36452	6.36692	33.3046	4.6143e-03	10.2090	1025.5441	25.4781	29.9425	34.3083	38.5776	42.7524	9.7509e-04	2.4967e-06	33.3000	40654.2682	32
15.141	10.0461	0.0413	2.0310e-01	0.779	32.248	344.668788	15.000	32.9124	10.0444	1025.3830	25.3146	25.3143	5.0507	78.997	6.39353	6.39611	33.0728	5.1891e-03	10.0726	1025.3899	25.3215	29.7907	34.1611	38.4347	42.6139	9.7524e-04	2.6456e-06	33.0676	40109.5324	43
