PrDM	T090C	WetStar	FlSP	SeaTurbMtr	TimeS	TimeJ	DepSM	Sal00	Potemp090C	Density00	Sigma-é00	Sigma-t00	Sbeox0ML/L	Sbeox0PS	OxsolML/L	OxsatML/L	Gsw_saA0	Gsw_deltasaA0	Gsw_ctA0	Gsw_densityA0	Gsw_sigma0A0	Gsw_sigma1A0	Gsw_sigma2A0	Gsw_sigma3A0	Gsw_sigma4A0	Gsw_specvolA0	Gsw_svolanomA0	Gsw_srA0	Gsw_ieA0	Nbin
2.019	6.9209	0.4256	5.5841e-01	1.194	41.581	345.449567	2.000	26.9056	6.9207	1021.0690	21.0597	21.0597	6.5032	91.171	7.13325	7.13934	27.0526	2.0120e-02	7.0227	1021.0850	21.0756	25.6625	30.1472	34.5315	38.8175	9.7935e-04	6.6981e-06	27.0325	27934.6244	19
2.523	7.0889	0.3697	5.8547e-01	1.042	42.946	345.449583	2.500	27.3103	7.0887	1021.3691	21.3574	21.3574	6.2799	88.616	7.08652	7.09250	27.4582	1.9114e-02	7.1872	1021.3845	21.3728	25.9524	30.4299	34.8074	39.0868	9.7906e-04	6.4133e-06	27.4391	28590.9513	33
3.028	7.3145	0.3368	5.7835e-01	0.970	44.385	345.449599	3.000	27.6689	7.3143	1021.6249	21.6109	21.6109	6.1085	86.852	7.03315	7.03885	27.8176	1.8223e-02	7.4100	1021.6398	21.6258	26.1971	30.6666	35.0363	39.3081	9.7882e-04	6.1709e-06	27.7994	29480.5508	35
3.533	7.9525	0.3062	4.8984e-01	0.913	45.659	345.449614	3.500	28.4831	7.9522	1022.1835	22.1672	22.1672	5.9980	87.008	6.89364	6.89847	28.6336	1.6199e-02	8.0422	1022.1973	22.1810	26.7307	31.1792	35.5285	39.7807	9.7829e-04	5.6393e-06	28.6174	32004.1160	26
4.037	8.2201	0.2846	4.8442e-01	1.026	46.734	345.449627	4.000	28.8528	8.2197	1022.4389	22.4204	22.4203	5.9454	86.982	6.83527	6.83974	29.0042	1.5280e-02	8.3063	1022.4522	22.4337	26.9742	31.4139	35.7546	39.9984	9.7804e-04	5.3977e-06	28.9889	33058.7674	27
4.542	8.3190	0.2736	4.8544e-01	1.896	47.995	345.449641	4.500	29.0213	8.3186	1022.5595	22.5387	22.5386	5.7675	84.661	6.81244	6.81679	29.1730	1.4861e-02	8.4034	1022.5726	22.5517	27.0887	31.5248	35.8621	40.1027	9.7793e-04	5.2848e-06	29.1582	33446.3567	33
5.047	8.4454	0.2633	3.9103e-01	2.299	49.244	345.449656	5.000	29.5556	8.4449	1022.9622	22.9391	22.9390	5.6021	82.754	6.76951	6.77385	29.7085	1.3533e-02	8.5224	1022.9744	22.9513	27.4813	31.9106	36.2414	40.4756	9.7754e-04	4.9030e-06	29.6950	33921.3291	26
5.552	8.6694	0.2088	3.5768e-01	1.419	50.238	345.449667	5.500	30.3453	8.6688	1023.5501	23.5248	23.5247	5.5162	82.317	6.70106	6.70530	30.5000	1.1570e-02	8.7353	1023.5611	23.5357	28.0546	32.4732	36.7935	41.0176	9.7698e-04	4.3449e-06	30.4884	34771.1368	23
6.056	9.2499	0.1698	3.6258e-01	1.319	51.272	345.449679	6.000	31.7374	9.2493	1024.5527	24.5252	24.5251	5.3323	81.332	6.55589	6.55956	31.8952	8.1098e-03	9.2955	1024.5614	24.5339	29.0293	33.4250	37.7232	41.9261	9.7603e-04	3.3934e-06	31.8871	37007.5442	27
6.561	9.4488	0.1152	2.6839e-01	0.802	52.503	345.449693	6.500	32.5014	9.4481	1025.1211	25.0914	25.0913	5.1980	80.034	6.49472	6.49829	32.6608	6.2109e-03	9.4820	1025.1286	25.0988	29.5841	33.9700	38.2587	42.4524	9.7549e-04	2.8556e-06	32.6546	37752.0984	30
7.066	9.5591	0.0900	2.5090e-01	0.791	53.599	345.449706	7.000	32.6997	9.5583	1025.2607	25.2286	25.2285	5.1392	79.422	6.47072	6.47416	32.8596	5.7178e-03	9.5891	1025.2677	25.2357	29.7171	34.0993	38.3844	42.5745	9.7535e-04	2.7255e-06	32.8539	38179.6621	24
7.570	9.6880	0.0875	2.4428e-01	0.744	54.593	345.449717	7.500	32.7671	9.6872	1025.2946	25.2603	25.2602	5.1374	79.654	6.44966	6.45287	32.9272	5.5503e-03	9.7171	1025.3016	25.2674	29.7454	34.1243	38.4063	42.5935	9.7532e-04	2.6955e-06	32.9216	38690.4315	24
8.075	9.9531	0.0849	2.1740e-01	0.754	55.623	345.449729	8.000	33.2229	9.9522	1025.6089	25.5725	25.5723	5.0984	79.742	6.39365	6.39652	33.3840	4.4174e-03	9.9746	1025.6152	25.5787	30.0476	34.4177	38.6911	42.8701	9.7503e-04	2.3996e-06	33.3795	39718.4050	25
8.580	9.9982	0.0700	1.9692e-01	0.748	56.626	345.449741	8.500	33.3563	9.9973	1025.7078	25.6691	25.6689	5.0906	79.766	6.38191	6.38474	33.5177	4.0857e-03	10.0173	1025.7138	25.6751	30.1421	34.5103	38.7819	42.9590	9.7493e-04	2.3081e-06	33.5136	39888.8229	23
9.084	9.9474	0.0656	2.1773e-01	0.750	57.637	345.449753	9.000	33.3545	9.9464	1025.7172	25.6762	25.6760	5.1121	80.014	6.38905	6.39197	33.5159	4.0902e-03	9.9663	1025.7232	25.6822	30.1503	34.5195	38.7922	42.9704	9.7492e-04	2.3015e-06	33.5118	39685.5574	26
9.589	9.9330	0.0636	2.0388e-01	0.774	58.842	345.449767	9.500	33.3511	9.9319	1025.7192	25.6759	25.6757	5.1096	79.948	6.39119	6.39414	33.5125	4.0987e-03	9.9519	1025.7252	25.6819	30.1504	34.5200	38.7929	42.9714	9.7492e-04	2.3018e-06	33.5084	39628.0361	33
10.094	9.8825	0.0663	2.0052e-01	0.748	60.176	345.449782	10.000	33.3386	9.8814	1025.7202	25.6746	25.6744	5.1007	79.715	6.39875	6.40179	33.4999	4.1297e-03	9.9015	1025.7262	25.6806	30.1502	34.5210	38.7951	42.9746	9.7492e-04	2.3031e-06	33.4958	39426.7381	28
10.599	9.8280	0.0616	2.0710e-01	0.755	61.236	345.449794	10.500	33.3345	9.8268	1025.7284	25.6805	25.6803	5.1118	79.791	6.40653	6.40968	33.4958	4.1400e-03	9.8469	1025.7344	25.6864	30.1573	34.5293	38.8045	42.9851	9.7491e-04	2.2977e-06	33.4917	39208.7228	24
