PrDM	T090C	WetStar	FlSP	SeaTurbMtr	TimeS	TimeJ	DepSM	Sal00	Potemp090C	Density00	Sigma-é00	Sigma-t00	Sbeox0ML/L	Sbeox0PS	OxsolML/L	OxsatML/L	Gsw_saA0	Gsw_deltasaA0	Gsw_ctA0	Gsw_densityA0	Gsw_sigma0A0	Gsw_sigma1A0	Gsw_sigma2A0	Gsw_sigma3A0	Gsw_sigma4A0	Gsw_specvolA0	Gsw_svolanomA0	Gsw_srA0	Gsw_ieA0	Nbin
2.019	5.3758	1.6943	7.2977e-01	1.602	33.948	345.428923	2.000	22.2295	5.3757	1017.5461	17.5366	17.5366	6.9919	91.592	7.63373	7.64005	22.3661	3.1744e-02	5.5092	1017.5693	17.5597	22.2236	26.7832	31.2402	35.5966	9.8274e-04	1.0082e-05	22.3343	21892.3010	14
2.523	5.4087	0.9571	5.6312e-01	1.076	34.875	345.428934	2.500	22.3590	5.4085	1017.6478	17.6359	17.6359	7.0035	91.897	7.62105	7.62739	22.4959	3.1422e-02	5.5413	1017.6707	17.6588	22.3208	26.8785	31.3337	35.6883	9.8264e-04	9.9862e-06	22.4645	22020.7760	22
3.028	5.5521	0.4280	5.0049e-01	0.772	35.806	345.428944	3.000	22.8275	5.5519	1018.0068	17.9926	17.9926	7.0101	92.593	7.57099	7.57737	22.9655	3.0257e-02	5.6825	1018.0290	18.0148	22.6691	27.2194	31.6675	36.0151	9.8229e-04	9.6426e-06	22.9352	22584.2393	22
3.533	6.0086	0.2706	5.0965e-01	0.681	36.751	345.428955	3.500	24.4328	6.0084	1019.2303	19.2138	19.2137	6.9317	93.558	7.40914	7.41564	24.5743	2.6267e-02	6.1287	1019.2500	19.2334	23.8630	28.3891	32.8137	37.1387	9.8111e-04	8.4683e-06	24.5480	24365.4263	23
4.037	6.3031	0.2475	4.9787e-01	0.719	37.685	345.428966	4.000	25.5130	6.3028	1020.0529	20.0340	20.0340	6.7779	92.789	7.30462	7.31118	25.6568	2.3582e-02	6.4149	1020.0709	20.0521	24.6654	29.1758	33.5852	37.8953	9.8032e-04	7.6809e-06	25.6333	25508.0927	22
4.542	6.3910	0.2497	4.6302e-01	0.699	38.622	345.428977	4.500	25.7935	6.3907	1020.2665	20.2453	20.2453	6.5116	89.493	7.27594	7.28249	25.9380	2.2885e-02	6.5005	1020.2841	20.2629	24.8718	29.3779	33.7830	38.0891	9.8012e-04	7.4784e-06	25.9151	25849.8619	23
5.047	6.6132	0.2302	4.2253e-01	0.660	39.611	345.428989	5.000	26.4778	6.6128	1020.7825	20.7590	20.7590	6.2821	87.188	7.20525	7.21174	26.6239	2.1184e-02	6.7169	1020.7990	20.7756	25.3735	29.8689	34.2636	38.5597	9.7962e-04	6.9862e-06	26.6027	26713.7413	25
5.552	7.0371	0.1907	3.5772e-01	0.624	40.618	345.429000	5.500	27.1763	7.0367	1021.2827	21.2570	21.2569	6.1266	86.259	7.10231	7.10831	27.3239	1.9448e-02	7.1359	1021.2983	21.2725	25.8546	30.3345	34.7143	38.9958	9.7915e-04	6.5098e-06	27.3044	28386.3703	23
6.056	7.8439	0.1160	3.2389e-01	0.673	41.582	345.429011	6.000	28.8666	7.8434	1022.5076	22.4797	22.4796	5.8399	84.683	6.89538	6.90059	29.0179	1.5246e-02	7.9260	1022.5207	22.4928	27.0423	31.4907	35.8399	40.0919	9.7798e-04	5.3419e-06	29.0027	31540.4498	23
6.561	8.5471	0.0997	3.0431e-01	0.673	42.513	345.429022	6.500	30.2521	8.5465	1023.4997	23.4697	23.4696	5.5821	83.022	6.72361	6.72805	30.4066	1.1802e-02	8.6137	1023.5107	23.4807	28.0031	32.4251	36.7487	40.9760	9.7703e-04	4.3976e-06	30.3948	34285.7420	22
7.066	8.6809	0.0905	3.0841e-01	0.710	43.452	345.429033	7.000	30.6495	8.6802	1023.7935	23.7613	23.7612	5.5266	82.659	6.68607	6.69042	30.8049	1.0814e-02	8.7419	1023.8040	23.7717	28.2880	32.7041	37.0220	41.2438	9.7675e-04	4.1200e-06	30.7940	34797.6722	23
7.570	8.8535	0.0765	3.0166e-01	0.670	44.441	345.429045	7.500	31.2347	8.8527	1024.2279	24.1934	24.1932	5.4890	82.726	6.63517	6.63942	31.3914	9.3594e-03	8.9058	1024.2373	24.2028	28.7108	33.1189	37.4290	41.6433	9.7634e-04	3.7090e-06	31.3820	35451.8232	24
8.075	9.1666	0.0623	2.7232e-01	0.703	45.417	345.429056	8.000	31.7155	9.1657	1024.5582	24.5215	24.5213	5.4489	82.954	6.56863	6.57246	31.8732	8.1645e-03	9.2122	1024.5669	24.5302	29.0276	33.4253	37.7254	41.9300	9.7602e-04	3.3972e-06	31.8650	36674.7847	23
8.580	9.3273	0.0560	2.6328e-01	0.734	46.378	345.429067	8.500	32.1999	9.3264	1024.9141	24.8751	24.8750	5.4185	83.045	6.52482	6.52852	32.3587	6.9602e-03	9.3652	1024.9220	24.8831	29.3733	33.7640	38.0573	42.2555	9.7568e-04	3.0613e-06	32.3517	37285.6505	23
9.084	9.3003	0.0343	2.5472e-01	0.751	47.344	345.429078	9.000	32.5476	9.2993	1025.1924	25.1512	25.1510	5.3846	82.661	6.51409	6.51798	32.7071	6.0960e-03	9.3321	1025.1997	25.1585	29.6467	34.0355	38.3270	42.5234	9.7542e-04	2.7993e-06	32.7010	37153.5118	23
9.589	9.3460	0.0257	2.7091e-01	0.743	48.302	345.429089	9.500	32.7594	9.3450	1025.3530	25.3095	25.3094	5.3645	82.548	6.49863	6.50252	32.9194	5.5696e-03	9.3742	1025.3599	25.3164	29.8020	34.1884	38.4775	42.6715	9.7527e-04	2.6492e-06	32.9139	37321.8643	23
