PrDM	T090C	WetStar	FlSP	SeaTurbMtr	TimeS	TimeJ	DepSM	Sal00	Potemp090C	Density00	Sigma-é00	Sigma-t00	Sbeox0ML/L	Sbeox0PS	OxsolML/L	OxsatML/L	Gsw_saA0	Gsw_deltasaA0	Gsw_ctA0	Gsw_densityA0	Gsw_sigma0A0	Gsw_sigma1A0	Gsw_sigma2A0	Gsw_sigma3A0	Gsw_sigma4A0	Gsw_specvolA0	Gsw_svolanomA0	Gsw_srA0	Gsw_ieA0	Nbin
2.019	6.9521	0.3366	7.0076e-01	1.226	3.231	344.469702	2.000	28.5599	6.9519	1022.3661	22.3568	22.3567	6.3905	90.639	7.05062	7.05754	28.7105	1.6008e-02	7.0328	1022.3794	22.3700	26.9432	31.4146	35.7861	40.0595	9.7811e-04	5.4581e-06	28.6945	27974.8479	25
2.523	7.3665	0.3035	6.0117e-01	0.761	7.125	344.469747	2.500	29.6182	7.3663	1023.1467	23.1350	23.1350	6.2664	90.350	6.93558	6.94216	29.7712	1.3378e-02	7.4354	1023.1583	23.1467	27.7017	32.1554	36.5098	40.7667	9.7737e-04	4.7160e-06	29.7578	29582.2073	25
3.028	7.5524	0.2619	6.1848e-01	0.698	9.148	344.469770	3.000	30.1398	7.5521	1023.5345	23.5206	23.5205	6.2007	90.098	6.88219	6.88863	30.2941	1.2081e-02	7.6152	1023.5453	23.5314	28.0780	32.5234	36.8698	41.1190	9.7700e-04	4.3486e-06	30.2820	30299.9470	38
3.533	7.8898	0.2433	6.1195e-01	0.679	10.397	344.469785	3.500	31.0339	7.8895	1024.1924	24.1762	24.1761	6.1121	90.023	6.78957	6.79572	31.1901	9.8587e-03	7.9413	1024.2018	24.1856	28.7173	33.1484	37.4809	41.7166	9.7637e-04	3.7247e-06	31.1802	31601.7301	21
4.037	7.9047	0.2336	5.3172e-01	0.666	11.164	344.469794	4.000	31.2896	7.9043	1024.3932	24.3747	24.3746	6.1155	90.253	6.77599	6.78222	31.4463	9.2231e-03	7.9523	1024.4021	24.3836	28.9131	33.3420	37.6723	41.9060	9.7618e-04	3.5360e-06	31.4371	31645.6870	19
4.542	7.8978	0.2285	5.4829e-01	0.699	12.140	344.469805	4.500	31.2753	7.8974	1024.3853	24.3645	24.3644	6.1384	90.569	6.77767	6.78391	31.4321	9.2585e-03	7.9456	1024.3943	24.3734	28.9032	33.3323	37.6629	41.8968	9.7619e-04	3.5458e-06	31.4228	31618.9161	32
5.047	7.8730	0.2182	6.0179e-01	0.783	13.828	344.469824	5.000	31.6703	7.8725	1024.7011	24.6780	24.6779	6.1795	91.359	6.76403	6.77052	31.8279	8.2767e-03	7.9147	1024.7093	24.6862	29.2136	33.6404	37.9686	42.2004	9.7589e-04	3.2479e-06	31.8196	31495.6708	40
5.552	7.7621	0.2141	5.5861e-01	0.628	15.326	344.469842	5.500	32.1703	7.7616	1025.1115	25.0861	25.0860	6.1605	91.145	6.75899	6.76596	32.3290	7.0338e-03	7.7959	1025.1188	25.0934	29.6195	34.0452	38.3724	42.6030	9.7550e-04	2.8604e-06	32.3220	31021.1788	36
6.056	7.7575	0.2140	5.3297e-01	0.624	16.606	344.469857	6.000	32.2264	7.7569	1025.1586	25.1309	25.1308	6.1379	90.835	6.75722	6.76423	32.3853	6.8943e-03	7.7904	1025.1657	25.1380	29.6639	34.0892	38.4161	42.6465	9.7545e-04	2.8180e-06	32.3784	30999.1931	26
6.561	7.7582	0.2134	5.0613e-01	0.650	17.598	344.469868	6.500	32.2579	7.7576	1025.1855	25.1555	25.1554	6.1591	91.169	6.75573	6.76275	32.4169	6.8160e-03	7.7905	1025.1927	25.1626	29.6882	34.1133	38.4400	42.6701	9.7543e-04	2.7946e-06	32.4101	30999.8044	23
7.066	7.7614	0.2121	5.9004e-01	0.616	18.893	344.469883	7.000	32.3203	7.7607	1025.2363	25.2040	25.2039	6.1823	91.557	6.75248	6.75952	32.4793	6.6611e-03	7.7928	1025.2433	25.2110	29.7360	34.1606	38.4867	42.7164	9.7538e-04	2.7487e-06	32.4727	31008.8446	38
7.570	7.8161	0.2117	4.9685e-01	0.624	20.185	344.469898	7.500	32.4282	7.8154	1025.3157	25.2811	25.2810	6.1700	91.552	6.73935	6.74632	32.5876	6.3926e-03	7.8459	1025.3225	25.2879	29.8108	34.2334	38.5575	42.7853	9.7530e-04	2.6756e-06	32.5812	31220.9039	21
8.075	7.8516	0.2033	4.4793e-01	0.620	20.847	344.469906	8.000	32.5212	7.8508	1025.3859	25.3490	25.3489	6.1533	91.433	6.72983	6.73677	32.6808	6.1615e-03	7.8801	1025.3926	25.3557	29.8771	34.2981	38.6208	42.8472	9.7524e-04	2.6112e-06	32.6746	31357.4762	14
