filename_old,filename,lat,lon
TB_20181211_01_down.nc,tb_20181211_01.nc,58.348888,11.584084
TB_20181211_02_down.nc,tb_20181211_02.nc,58.350716,11.577842
TB_20181211_03_down.nc,tb_20181211_03.nc,58.352802,11.571457
TB_20181211_04_down.nc,tb_20181211_04.nc,58.371811,11.612026
TB_20181211_05_down.nc,tb_20181211_05.nc,58.374195,11.602379
TB_20181211_06_down.nc,tb_20181211_06.nc,58.376282,11.593937
TB_20181211_07_down.nc,tb_20181211_07.nc,58.384811,11.596842
TB_20181211_08_down.nc,tb_20181211_08.nc,58.383846,11.615355
TB_20181211_09_down.nc,tb_20181211_09.nc,58.382877,11.62018
TB_20181211_09_mooring_down.nc,tb_20181211_09_mooring.nc,58.382877,11.62018
TB_20181211_10_down.nc,tb_20181211_10.nc,58.381649,11.62394
,tb_20181211_cal.nc,58.319344,11.543796
