Latitude	Longitude	PrDM	T090C	FlECO-AFL	TimeS	TimeJ	DepSM	Sal00	Potemp090C	Density00	Sigma-é00	Sigma-t00	Sbeox0ML/L	Sbeox0PS	OxsolML/L	OxsatML/L	Gsw_saA0	Gsw_deltasaA0	Gsw_ctA0	Gsw_densityA0	Gsw_sigma0A0	Gsw_sigma1A0	Gsw_sigma2A0	Gsw_sigma3A0	Gsw_sigma4A0	Gsw_specvolA0	Gsw_svolanomA0	Gsw_srA0	Gsw_ieA0	Nbin
58.19782	11.30538	2.019	7.4370	0.6271	18.411	344.540317	2.000	30.5034	7.4368	1023.8308	23.8215	23.8215	4.8872	70.994	6.88402	6.89089	30.6584	1.1177e-02	7.4941	1023.8409	23.8316	28.3782	32.8236	37.1699	41.4191	9.7672e-04	4.0620e-06	30.6472	29816.3948	13
58.19782	11.30538	2.523	7.4340	0.6951	19.540	344.540330	2.500	30.4904	7.4338	1023.8233	23.8117	23.8116	4.8998	71.166	6.88508	6.89195	30.6454	1.1210e-02	7.4913	1023.8335	23.8219	28.3686	32.8142	37.1607	41.4100	9.7672e-04	4.0714e-06	30.6342	29805.0907	23
58.19782	11.30538	3.028	7.4392	0.6827	20.417	344.540340	3.000	30.5063	7.4389	1023.8374	23.8235	23.8234	4.8903	71.043	6.88356	6.89042	30.6613	1.1170e-02	7.4961	1023.8476	23.8336	28.3801	32.8255	37.1717	41.4208	9.7671e-04	4.0602e-06	30.6501	29824.4910	20
58.19782	11.30533	3.533	7.4448	0.6630	30.227	344.540454	3.500	30.5305	7.4445	1023.8579	23.8417	23.8417	5.0818	73.849	6.88157	6.88844	30.6855	1.1110e-02	7.5014	1023.8681	23.8518	28.3980	32.8430	37.1890	41.4378	9.7669e-04	4.0429e-06	30.6744	29845.7659	29
58.19782	11.30519	4.038	7.5591	0.6443	56.172	344.540754	4.000	30.9263	7.5587	1024.1557	24.1372	24.1371	5.7300	83.700	6.84587	6.85268	31.0822	1.0126e-02	7.6105	1024.1651	24.1466	28.6870	33.1265	37.4671	41.7107	9.7640e-04	3.7619e-06	31.0721	30281.0827	31
58.19782	11.30520	4.542	7.9038	0.6235	55.334	344.540745	4.500	32.5978	7.9034	1025.4222	25.4015	25.4014	5.8531	87.122	6.71863	6.72549	32.7575	5.9713e-03	7.9315	1025.4287	25.4080	29.9276	34.3469	38.6680	42.8927	9.7520e-04	2.5611e-06	32.7515	31562.6991	20
58.19780	11.30520	5.047	7.7956	0.5968	56.226	344.540755	5.000	32.9053	7.7951	1025.6816	25.6585	25.6585	6.2595	93.124	6.72152	6.72877	33.0656	5.2069e-03	7.8184	1025.6875	25.6644	30.1842	34.6038	38.9250	43.1499	9.7496e-04	2.3172e-06	33.0604	31111.0377	23
58.19780	11.30520	5.552	7.6954	0.4990	57.234	344.540767	5.500	32.9726	7.6949	1025.7512	25.7258	25.7257	6.7793	100.675	6.73385	6.74135	33.1332	5.0394e-03	7.7169	1025.7569	25.7315	30.2531	34.6745	38.9974	43.2239	9.7489e-04	2.2535e-06	33.1281	30706.0042	24
58.19780	11.30518	6.056	7.7301	0.4765	58.129	344.540777	6.000	32.9960	7.7295	1025.7669	25.7392	25.7391	6.7686	100.610	6.72752	6.73496	33.1565	4.9814e-03	7.7512	1025.7726	25.7449	30.2655	34.6859	39.0079	43.2335	9.7488e-04	2.2409e-06	33.1516	30843.1598	19
58.19780	11.30518	6.561	7.8696	0.4779	58.882	344.540786	6.500	33.0439	7.8690	1025.7868	25.7568	25.7567	6.9406	103.528	6.70419	6.71133	33.2046	4.8623e-03	7.8903	1025.7925	25.7625	30.2795	34.6964	39.0150	43.2374	9.7486e-04	2.2243e-06	33.1997	31398.0782	18
