PrDM	T090C	WetStar	FlSP	SeaTurbMtr	TimeS	TimeJ	DepSM	Sal00	Potemp090C	Density00	Sigma-é00	Sigma-t00	Sbeox0ML/L	Sbeox0PS	OxsolML/L	OxsatML/L	Gsw_saA0	Gsw_deltasaA0	Gsw_ctA0	Gsw_densityA0	Gsw_sigma0A0	Gsw_sigma1A0	Gsw_sigma2A0	Gsw_sigma3A0	Gsw_sigma4A0	Gsw_specvolA0	Gsw_svolanomA0	Gsw_srA0	Gsw_ieA0	Nbin
6.056	7.8977	0.2170	4.9549e-01	0.708	0.087	344.442894	6.000	32.2735	7.8971	1025.1756	25.1480	25.1479	6.1844	91.843	6.73368	6.74040	32.4325	6.7772e-03	7.9303	1025.1828	25.1551	29.6773	34.0991	38.4226	42.6497	9.7544e-04	2.8018e-06	32.4257	31557.7964	9
6.561	7.8261	0.2150	5.6241e-01	0.671	0.594	344.442900	6.500	32.3564	7.8255	1025.2532	25.2232	25.2231	6.1863	91.771	6.74097	6.74789	32.5156	6.5712e-03	7.8572	1025.2602	25.2302	29.7534	34.1763	38.5007	42.7287	9.7536e-04	2.7304e-06	32.5090	31266.0025	12
7.066	7.7496	0.2161	6.3007e-01	0.689	1.709	344.442913	7.000	32.4157	7.7490	1025.3130	25.2806	25.2806	6.1640	91.318	6.75008	6.75719	32.5750	6.4238e-03	7.7795	1025.3198	25.2875	29.8120	34.2362	38.5619	42.7911	9.7530e-04	2.6760e-06	32.5686	30956.0184	18
7.570	7.7604	0.2167	5.4337e-01	0.676	12.523	344.443038	7.500	32.4096	7.7597	1025.3090	25.2743	25.2742	6.2797	93.050	6.74870	6.75579	32.5689	6.4390e-03	7.7903	1025.3158	25.2812	29.8055	34.2295	38.5550	42.7841	9.7531e-04	2.6820e-06	32.5624	30999.0518	16
8.075	7.6720	0.2158	5.8257e-01	0.626	13.062	344.443045	8.000	32.4477	7.6712	1025.3537	25.3168	25.3166	6.2896	93.034	6.76059	6.76789	32.6071	6.3442e-03	7.7011	1025.3604	25.3235	29.8496	34.2753	38.6025	42.8332	9.7527e-04	2.6419e-06	32.6007	30642.8474	14
8.580	7.5737	0.2151	5.7312e-01	0.599	13.663	344.443052	8.500	32.5208	7.5729	1025.4272	25.3879	25.3878	6.3008	93.036	6.77250	6.78006	32.6803	6.1626e-03	7.6014	1025.4338	25.3945	29.9224	34.3498	38.6786	42.9109	9.7520e-04	2.5744e-06	32.6741	30244.8305	15
9.084	7.5273	0.2161	5.9197e-01	0.601	14.281	344.443059	9.000	32.5823	7.5265	1025.4843	25.4428	25.4426	6.3006	92.972	6.77693	6.78463	32.7419	6.0098e-03	7.5539	1025.4907	25.4491	29.9777	34.4057	38.7351	42.9680	9.7514e-04	2.5225e-06	32.7359	30055.4857	16
9.589	7.5801	0.2184	6.4388e-01	0.720	15.429	344.443072	9.500	32.6682	7.5792	1025.5467	25.5029	25.5027	6.2875	92.943	6.76499	6.77261	32.8280	5.7963e-03	7.6055	1025.5530	25.5091	30.0358	34.4619	38.7896	43.0207	9.7508e-04	2.4655e-06	32.8222	30261.4869	25
10.094	7.7069	0.2076	6.5736e-01	0.607	18.353	344.443106	10.000	32.9726	7.7060	1025.7703	25.7242	25.7241	6.2622	93.021	6.73207	6.73955	33.1331	5.0395e-03	7.7281	1025.7761	25.7299	30.2513	34.6723	38.9950	43.2213	9.7487e-04	2.2558e-06	33.1281	30750.6169	31
10.598	7.7826	0.1953	5.1590e-01	0.564	19.090	344.443114	10.500	33.0668	7.7816	1025.8358	25.7874	25.7872	6.2316	92.782	6.71640	6.72375	33.2275	4.8054e-03	7.8024	1025.8414	25.7929	30.3119	34.7305	39.0508	43.2749	9.7481e-04	2.1960e-06	33.2227	31047.2234	16
11.103	7.8403	0.1928	5.0512e-01	0.546	19.622	344.443121	11.000	33.1308	7.8393	1025.8801	25.8293	25.8292	6.2110	92.635	6.70481	6.71206	33.2917	4.6463e-03	7.8592	1025.8855	25.8348	30.3519	34.7688	39.0874	43.3098	9.7477e-04	2.1563e-06	33.2871	31274.1531	11
11.608	7.8483	0.1963	4.6538e-01	0.578	20.060	344.443126	11.500	33.1440	7.8472	1025.8916	25.8386	25.8384	6.2072	92.603	6.70304	6.71027	33.3049	4.6135e-03	7.8669	1025.8970	25.8440	30.3608	34.7774	39.0958	43.3180	9.7476e-04	2.1476e-06	33.3003	31304.7789	10
12.112	7.8323	0.1897	4.7606e-01	0.580	20.474	344.443130	12.000	33.1217	7.8311	1025.8787	25.8234	25.8232	6.2139	92.655	6.70644	6.71370	33.2826	4.6689e-03	7.8512	1025.8842	25.8289	30.3462	34.7633	39.0822	43.3049	9.7477e-04	2.1621e-06	33.2779	31242.1137	10
12.617	7.9484	0.1767	4.6790e-01	0.558	21.878	344.443147	12.500	33.3184	7.9472	1026.0185	25.9609	25.9608	6.1866	92.609	6.68031	6.68740	33.4797	4.1799e-03	7.9644	1026.0237	25.9661	30.4793	34.8923	39.2073	43.4262	9.7464e-04	2.0319e-06	33.4755	31694.1403	16
13.122	8.0839	0.1729	4.3450e-01	0.541	25.144	344.443184	13.000	33.5433	8.0826	1026.1775	26.1177	26.1175	6.1300	92.179	6.65013	6.65702	33.7051	3.6210e-03	8.0965	1026.1823	26.1224	30.6308	35.0392	39.3496	43.5641	9.7449e-04	1.8835e-06	33.7014	32221.5281	11
13.627	8.0856	0.1766	4.2638e-01	0.629	25.535	344.443189	13.500	33.5577	8.0843	1026.1909	26.1288	26.1286	6.1260	92.131	6.64925	6.65614	33.7196	3.5850e-03	8.0980	1026.1956	26.1335	30.6417	35.0500	39.3602	43.5747	9.7447e-04	1.8731e-06	33.7160	32227.3109	11
14.131	8.0978	0.1742	4.1283e-01	0.532	25.975	344.443194	14.000	33.5564	8.0964	1026.1903	26.1259	26.1257	6.1270	92.170	6.64749	6.65435	33.7182	3.5884e-03	8.1101	1026.1951	26.1306	30.6386	35.0466	39.3566	43.5708	9.7447e-04	1.8759e-06	33.7146	32275.7194	10
