PrDM	T090C	WetStar	FlSP	SeaTurbMtr	TimeS	TimeJ	DepSM	Sal00	Potemp090C	Density00	Sigma-é00	Sigma-t00	Sbeox0ML/L	Sbeox0PS	OxsolML/L	OxsatML/L	Gsw_saA0	Gsw_deltasaA0	Gsw_ctA0	Gsw_densityA0	Gsw_sigma0A0	Gsw_sigma1A0	Gsw_sigma2A0	Gsw_sigma3A0	Gsw_sigma4A0	Gsw_specvolA0	Gsw_svolanomA0	Gsw_srA0	Gsw_ieA0	Nbin
0.065	4.3179	2.9631	8.3079e-01	2.248	0.479	345.562876	0.064	16.3608	4.3179	1012.9747	12.9744	12.9744	7.4749	91.716	8.15003	8.15383	16.4843	4.6332e-02	4.4775	1013.0080	13.0077	17.7493	22.3845	26.9151	31.3430	9.8716e-04	1.4498e-05	16.4380	17773.6559	24
0.069	4.2752	2.9473	8.5216e-01	2.238	1.479	345.562887	0.068	16.3331	4.2752	1012.9551	12.9548	12.9548	7.5030	91.945	8.16030	8.16414	16.4565	4.6401e-02	4.4339	1012.9886	12.9882	17.7312	22.3679	26.8999	31.3291	9.8718e-04	1.4517e-05	16.4101	17599.6982	24
0.104	4.4041	2.9338	8.3588e-01	2.165	2.479	345.562899	0.103	16.6058	4.4041	1013.1637	13.1632	13.1632	7.5455	92.936	8.11910	8.12298	16.7298	4.5723e-02	4.5642	1013.1966	13.1961	17.9332	22.5640	27.0903	31.5141	9.8697e-04	1.4314e-05	16.6841	18119.8351	24
0.114	4.4626	2.9461	8.3282e-01	2.217	3.479	345.562911	0.113	16.5517	4.4626	1013.1176	13.1170	13.1170	7.5402	92.974	8.11008	8.11383	16.6756	4.5857e-02	4.6247	1013.1505	13.1500	17.8858	22.5154	27.0406	31.4633	9.8702e-04	1.4359e-05	16.6297	18361.3943	24
0.096	4.3008	2.9460	9.3050e-01	2.327	4.479	345.562922	0.095	16.3589	4.3008	1012.9743	12.9738	12.9738	7.6103	93.335	8.15364	8.15747	16.4824	4.6336e-02	4.4600	1013.0077	13.0072	17.7493	22.3850	26.9161	31.3444	9.8716e-04	1.4498e-05	16.4361	17703.8343	24
0.085	4.2392	2.9498	9.1016e-01	2.369	5.479	345.562934	0.084	16.2483	4.2392	1012.8901	12.8897	12.8897	7.8309	95.821	8.17238	8.17620	16.3715	4.6611e-02	4.3975	1012.9237	12.9233	17.6680	22.3064	26.8400	31.2708	9.8724e-04	1.4580e-05	16.3249	17454.2688	24
0.078	4.1496	2.9449	8.3486e-01	2.316	6.479	345.562945	0.077	16.1125	4.1496	1012.7873	12.7869	12.7869	7.9864	97.414	8.19837	8.20220	16.2354	4.6949e-02	4.3065	1012.8212	12.8208	17.5693	22.2112	26.7484	31.1826	9.8734e-04	1.4680e-05	16.1885	17090.8047	24
0.088	4.5585	2.9277	8.4503e-01	2.280	7.479	345.562957	0.087	16.9768	4.5585	1013.4478	13.4474	13.4474	7.6677	95.037	8.06777	8.07171	17.1017	4.4800e-02	4.7198	1013.4800	13.4795	18.2091	22.8327	27.3520	31.7688	9.8670e-04	1.4038e-05	17.0569	18740.9765	24
0.106	4.6439	2.9704	8.4402e-01	2.270	8.479	345.562968	0.105	16.9746	4.6439	1013.4411	13.4406	13.4406	7.4449	92.478	8.05045	8.05427	17.0994	4.4806e-02	4.8075	1013.4732	13.4727	18.1999	22.8211	27.3381	31.7528	9.8671e-04	1.4045e-05	17.0546	19091.1369	24
0.129	4.7532	2.9966	8.3079e-01	2.260	9.479	345.562980	0.128	17.2477	4.7532	1013.6499	13.6493	13.6493	7.3019	91.112	8.01409	8.01795	17.3731	4.4127e-02	4.9174	1013.6815	13.6809	18.4027	23.0187	27.5307	31.9405	9.8650e-04	1.3843e-05	17.3290	19529.6658	24
0.365	5.6428	2.2111	8.0128e-01	1.956	10.479	345.562992	0.362	21.9223	5.6428	1017.2691	17.2674	17.2674	6.8518	90.114	7.60312	7.60868	22.0582	3.2507e-02	5.7821	1017.2928	17.2911	21.9506	26.5060	30.9589	35.3114	9.8300e-04	1.0345e-05	22.0257	22981.7055	24
0.774	6.5953	0.6509	7.0665e-01	1.255	11.479	345.563003	0.767	26.2927	6.5952	1020.6189	20.6153	20.6153	6.4816	89.807	7.21717	7.22360	26.4383	2.1644e-02	6.7013	1020.6357	20.6321	25.2319	29.7292	34.1257	38.4235	9.7978e-04	7.1237e-06	26.4167	26651.5307	24
1.197	6.8465	0.4755	6.3034e-01	1.006	12.479	345.563015	1.186	26.7961	6.8464	1020.9879	20.9823	20.9823	6.4097	89.635	7.15087	7.15706	26.9429	2.0392e-02	6.9490	1021.0040	20.9984	25.5880	30.0753	34.4622	38.7507	9.7943e-04	6.7721e-06	26.9225	27640.2913	24
1.651	7.0569	0.3910	5.7184e-01	0.907	13.479	345.563026	1.636	27.0287	7.0568	1021.1477	21.1401	21.1401	6.3895	89.930	7.10496	7.11084	27.1760	1.9814e-02	7.1586	1021.1635	21.1559	25.7385	30.2189	34.5992	38.8813	9.7928e-04	6.6212e-06	27.1562	28476.8894	24
2.084	7.1611	0.3672	5.3724e-01	0.942	14.479	345.563038	2.065	27.1784	7.1609	1021.2547	21.2451	21.2451	6.3876	90.211	7.08074	7.08649	27.3260	1.9442e-02	7.2619	1021.2703	21.2607	25.8395	30.3164	34.6931	38.9718	9.7917e-04	6.5207e-06	27.3066	28889.2467	24
2.481	7.1985	0.3500	5.6726e-01	1.086	15.479	345.563050	2.458	27.2181	7.1983	1021.2832	21.2717	21.2717	6.3422	89.671	7.07274	7.07844	27.3658	1.9344e-02	7.2991	1021.2987	21.2872	25.8649	30.3405	34.7161	38.9937	9.7915e-04	6.4953e-06	27.3465	29037.7763	24
2.873	7.2701	0.3458	5.1689e-01	0.957	16.479	345.563061	2.846	27.3075	7.2699	1021.3463	21.3330	21.3330	6.1962	87.803	7.05686	7.06247	27.4554	1.9121e-02	7.3701	1021.3618	21.3485	25.9236	30.3969	34.7702	39.0456	9.7909e-04	6.4366e-06	27.4363	29321.3895	24
3.280	7.3143	0.3432	5.1587e-01	0.986	17.479	345.563073	3.249	27.3743	7.3140	1021.3952	21.3800	21.3800	6.0083	85.266	7.04654	7.05209	27.5224	1.8955e-02	7.4138	1021.4105	21.3954	25.9689	30.4407	34.8125	39.0864	9.7904e-04	6.3917e-06	27.5034	29495.8991	24
